"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","118906.06","0.217","0.048","0.207","0.287","0.335","0.495"
"PING_MBULK","118343.19","0.219","0.064","0.207","0.295","0.343","0.615"
"SET","121506.68","0.214","0.056","0.215","0.263","0.327","0.695"
"GET","115074.80","0.225","0.064","0.215","0.287","0.327","0.983"
"INCR","118483.41","0.223","0.064","0.215","0.295","0.399","1.639"
"LPUSH","114678.90","0.227","0.056","0.215","0.287","0.343","8.887"
"RPUSH","115606.94","0.223","0.064","0.215","0.287","0.327","0.479"
"LPOP","121212.12","0.214","0.056","0.215","0.263","0.311","0.439"
"RPOP","120918.98","0.213","0.064","0.215","0.271","0.311","0.599"
"SADD","108108.11","0.242","0.056","0.223","0.319","0.383","8.695"
"HSET","118063.76","0.222","0.064","0.215","0.279","0.335","8.903"
"SPOP","113636.37","0.233","0.056","0.215","0.311","0.423","0.991"
"LPUSH (needed to benchmark LRANGE)","120481.93","0.214","0.064","0.215","0.255","0.311","0.527"
"LRANGE_100 (first 100 elements)","80515.30","0.317","0.160","0.303","0.391","0.447","0.583"
"MSET (10 keys)","116550.12","0.255","0.056","0.239","0.391","0.487","0.911"
