"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","892857.12","0.501","0.024","0.327","1.335","3.647","8.431"
"PING_MBULK","943396.25","0.457","0.024","0.295","1.159","3.335","11.287"
"SET","735294.06","0.476","0.040","0.359","1.295","2.783","7.519"
"GET","970873.81","0.398","0.032","0.303","0.879","2.647","8.495"
"INCR","943396.25","0.497","0.032","0.247","2.103","3.463","5.895"
"LPUSH","649350.62","0.755","0.024","1.039","1.231","2.079","4.455"
"RPUSH","602409.69","0.814","0.024","1.055","1.303","2.119","6.319"
"LPOP","625000.00","0.789","0.024","1.063","1.255","1.695","3.047"
"RPOP","653594.81","0.754","0.024","1.039","1.231","1.439","2.327"
"SADD","606060.56","0.812","0.024","1.063","1.271","1.807","4.023"
"HSET","568181.81","0.867","0.024","1.079","1.311","2.087","4.503"
"SPOP","609756.06","0.805","0.016","1.039","1.503","3.191","5.095"
"LPUSH (needed to benchmark LRANGE)","632911.38","0.777","0.024","1.047","1.271","2.039","4.783"
"LRANGE_100 (first 100 elements)","179856.11","1.936","0.184","1.247","5.911","10.375","21.967"
"MSET (10 keys)","214132.77","2.320","0.120","1.879","5.615","7.839","14.007"
