"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","107874.87","0.240","0.056","0.231","0.327","0.399","1.047"
"PING_MBULK","107642.62","0.242","0.040","0.231","0.311","0.367","2.887"
"SET","107642.62","0.242","0.024","0.231","0.327","0.399","1.759"
"GET","112359.55","0.232","0.016","0.231","0.303","0.383","1.407"
"INCR","109649.12","0.237","0.040","0.231","0.311","0.375","1.215"
"LPUSH","111482.72","0.237","0.016","0.231","0.319","0.479","3.583"
"RPUSH","107411.38","0.254","0.008","0.231","0.335","0.663","13.239"
"LPOP","112866.82","0.237","0.016","0.223","0.311","0.599","4.375"
"RPOP","117508.81","0.224","0.016","0.223","0.263","0.343","4.055"
"SADD","114155.25","0.230","0.024","0.223","0.295","0.375","3.735"
"HSET","113636.37","0.230","0.016","0.223","0.287","0.359","2.311"
"SPOP","108813.92","0.240","0.016","0.231","0.319","0.367","2.127"
"LPUSH (needed to benchmark LRANGE)","108813.92","0.239","0.032","0.231","0.311","0.375","4.383"
"LRANGE_100 (first 100 elements)","74682.60","0.356","0.032","0.343","0.423","0.775","8.775"
"MSET (10 keys)","99206.34","0.271","0.024","0.271","0.359","0.463","4.119"
