"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","884955.75","0.474","0.024","0.319","1.311","2.479","9.999"
"PING_MBULK","877193.00","0.499","0.032","0.327","1.335","2.895","8.935"
"SET","862069.00","0.531","0.032","0.271","1.991","3.575","7.375"
"GET","925925.88","0.482","0.032","0.319","1.111","4.407","13.119"
"INCR","884955.75","0.530","0.024","0.247","2.215","4.783","7.175"
"LPUSH","628930.81","0.776","0.024","1.047","1.311","1.711","2.679"
"RPUSH","591716.00","0.829","0.024","1.071","1.287","2.079","3.735"
"LPOP","613496.94","0.803","0.024","1.063","1.279","2.039","3.767"
"RPOP","632911.38","0.774","0.024","1.039","1.327","2.159","4.431"
"SADD","588235.31","0.836","0.024","1.071","1.311","1.919","2.591"
"HSET","564971.75","0.876","0.024","1.079","1.415","2.303","4.255"
"SPOP","632911.38","0.779","0.016","1.031","1.359","2.647","7.223"
"LPUSH (needed to benchmark LRANGE)","641025.62","0.770","0.024","1.047","1.223","1.959","6.031"
"LRANGE_100 (first 100 elements)","190839.70","1.857","0.192","1.199","5.447","8.783","18.319"
"MSET (10 keys)","216450.20","2.295","0.112","1.911","5.439","7.471","16.607"
