"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","112739.57","0.234","0.016","0.223","0.311","0.439","4.591"
"PING_MBULK","111234.70","0.235","0.040","0.223","0.311","0.375","1.967"
"SET","108342.37","0.240","0.048","0.231","0.311","0.375","1.103"
"GET","116822.43","0.224","0.024","0.223","0.279","0.375","4.599"
"INCR","115340.26","0.227","0.024","0.223","0.303","0.375","2.679"
"LPUSH","110253.59","0.237","0.024","0.231","0.311","0.391","3.855"
"RPUSH","107758.62","0.241","0.040","0.231","0.319","0.383","1.471"
"LPOP","109409.20","0.237","0.024","0.231","0.311","0.367","1.183"
"RPOP","106837.61","0.244","0.016","0.239","0.327","0.383","2.759"
"SADD","105932.20","0.249","0.016","0.239","0.335","0.455","2.439"
"HSET","110987.79","0.244","0.016","0.231","0.311","0.711","8.279"
"SPOP","109529.02","0.238","0.024","0.231","0.303","0.375","1.919"
"LPUSH (needed to benchmark LRANGE)","112107.62","0.234","0.016","0.231","0.303","0.367","5.895"
"LRANGE_100 (first 100 elements)","76687.12","0.353","0.024","0.327","0.471","0.935","11.495"
"MSET (10 keys)","110132.16","0.255","0.024","0.239","0.367","0.791","7.311"
