"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","114285.71","0.228","0.024","0.223","0.303","0.375","1.351"
"PING_MBULK","111358.58","0.234","0.024","0.223","0.311","0.375","1.607"
"SET","114678.90","0.228","0.016","0.223","0.311","0.375","2.935"
"GET","109769.48","0.239","0.016","0.231","0.327","0.423","3.375"
"INCR","107296.14","0.245","0.024","0.231","0.319","0.407","2.495"
"LPUSH","107991.36","0.243","0.016","0.231","0.319","0.423","3.975"
"RPUSH","106723.59","0.249","0.016","0.231","0.335","0.583","4.015"
"LPOP","102459.02","0.254","0.032","0.255","0.319","0.375","1.359"
"RPOP","114416.48","0.229","0.016","0.223","0.287","0.367","4.215"
"SADD","110987.79","0.235","0.016","0.231","0.311","0.375","1.575"
"HSET","109409.20","0.241","0.024","0.231","0.319","0.415","2.463"
"SPOP","98911.96","0.266","0.016","0.263","0.343","0.439","2.311"
"LPUSH (needed to benchmark LRANGE)","107181.13","0.244","0.024","0.239","0.319","0.383","3.239"
"LRANGE_100 (first 100 elements)","73909.83","0.375","0.024","0.327","0.519","1.335","12.719"
"MSET (10 keys)","105374.08","0.283","0.016","0.239","0.471","1.127","8.471"
