"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","111982.08","0.235","0.008","0.223","0.303","0.399","4.559"
"PING_MBULK","107758.62","0.241","0.016","0.231","0.311","0.359","1.455"
"SET","99206.34","0.264","0.016","0.263","0.327","0.399","3.111"
"GET","106157.12","0.245","0.040","0.239","0.311","0.367","1.031"
"INCR","97943.19","0.265","0.048","0.271","0.335","0.391","2.263"
"LPUSH","104821.80","0.249","0.024","0.239","0.327","0.383","2.343"
"RPUSH","108108.11","0.241","0.024","0.231","0.343","0.431","1.783"
"LPOP","107296.14","0.247","0.016","0.239","0.335","0.479","3.191"
"RPOP","105820.11","0.247","0.024","0.239","0.327","0.399","3.871"
"SADD","100401.61","0.260","0.024","0.255","0.359","0.423","2.455"
"HSET","96061.48","0.271","0.024","0.279","0.343","0.399","1.415"
"SPOP","95877.28","0.273","0.016","0.279","0.335","0.399","3.087"
"LPUSH (needed to benchmark LRANGE)","92678.41","0.283","0.024","0.279","0.351","0.439","4.607"
"LRANGE_100 (first 100 elements)","71225.07","0.384","0.032","0.367","0.487","1.111","18.655"
"MSET (10 keys)","99009.90","0.285","0.016","0.263","0.391","0.887","5.239"
