"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","934579.44","0.287","0.080","0.279","0.367","0.463","0.591"
"PING_MBULK","943396.25","0.288","0.080","0.279","0.383","0.495","0.735"
"SET","813008.12","0.552","0.240","0.527","0.735","0.887","1.279"
"GET","1063829.88","0.389","0.136","0.383","0.583","0.695","1.087"
"INCR","1075268.75","0.392","0.136","0.383","0.551","0.647","0.839"
"LPUSH","1086956.50","0.349","0.152","0.327","0.575","0.735","0.983"
"RPUSH","1136363.62","0.257","0.072","0.239","0.399","0.543","0.783"
"LPOP","1020408.19","0.428","0.176","0.407","0.607","0.743","0.991"
"RPOP","1086956.50","0.378","0.152","0.375","0.535","0.623","0.879"
"SADD","1052631.62","0.346","0.152","0.311","0.615","0.839","1.223"
"HSET","1000000.00","0.435","0.192","0.415","0.591","0.671","0.927"
"SPOP","606060.56","0.718","0.072","0.703","1.543","1.815","2.271"
"LPUSH (needed to benchmark LRANGE)","1123595.50","0.333","0.144","0.319","0.511","0.607","0.879"
"LRANGE_100 (first 100 elements)","225733.64","1.144","0.408","1.087","1.519","2.407","3.839"
"MSET (10 keys)","322580.66","1.440","0.480","1.439","2.031","2.567","3.023"
