"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","115473.45","0.225","0.072","0.215","0.295","0.359","0.743"
"PING_MBULK","120627.27","0.215","0.072","0.207","0.279","0.327","3.015"
"SET","118906.06","0.223","0.056","0.207","0.279","0.367","8.799"
"GET","121654.50","0.213","0.056","0.215","0.263","0.303","0.455"
"INCR","121654.50","0.213","0.080","0.207","0.263","0.319","1.551"
"LPUSH","121212.12","0.216","0.056","0.207","0.263","0.319","8.695"
"RPUSH","117370.89","0.220","0.056","0.215","0.295","0.335","0.599"
"LPOP","116686.12","0.221","0.064","0.215","0.287","0.327","0.975"
"RPOP","117647.05","0.220","0.056","0.215","0.287","0.343","0.535"
"SADD","120192.30","0.215","0.064","0.215","0.263","0.311","0.463"
"HSET","110619.47","0.237","0.048","0.223","0.303","0.359","8.927"
"SPOP","116009.28","0.234","0.064","0.215","0.327","0.591","1.263"
"LPUSH (needed to benchmark LRANGE)","121506.68","0.213","0.064","0.215","0.263","0.311","0.455"
"LRANGE_100 (first 100 elements)","78802.20","0.324","0.128","0.311","0.399","0.487","0.655"
"MSET (10 keys)","115740.73","0.326","0.064","0.319","0.503","0.623","1.127"
