"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","980392.19","0.431","0.024","0.287","1.023","3.503","8.191"
"PING_MBULK","952381.00","0.410","0.024","0.295","0.991","2.463","9.455"
"SET","934579.44","0.472","0.032","0.279","1.623","3.063","5.415"
"GET","970873.81","0.440","0.032","0.295","1.087","3.391","12.335"
"INCR","800000.00","0.600","0.032","0.279","2.503","4.847","7.695"
"LPUSH","628930.81","0.782","0.024","1.055","1.279","1.975","3.159"
"RPUSH","581395.31","0.845","0.024","1.071","1.287","2.111","3.687"
"LPOP","621118.00","0.794","0.024","1.055","1.255","2.023","4.135"
"RPOP","625000.00","0.787","0.024","1.063","1.271","1.799","3.071"
"SADD","564971.75","0.873","0.024","1.087","1.375","2.023","4.119"
"HSET","552486.19","0.890","0.024","1.087","1.327","1.951","3.279"
"SPOP","591716.00","0.825","0.016","1.047","1.375","3.967","6.855"
"LPUSH (needed to benchmark LRANGE)","598802.44","0.823","0.024","1.071","1.391","2.167","3.295"
"LRANGE_100 (first 100 elements)","172117.05","1.966","0.184","1.303","5.631","9.951","16.367"
"MSET (10 keys)","230946.89","2.149","0.112","1.687","5.199","7.191","14.983"
