"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","122850.12","0.212","0.040","0.207","0.263","0.335","3.247"
"PING_MBULK","107296.14","0.244","0.016","0.239","0.311","0.383","4.423"
"SET","116279.07","0.224","0.016","0.223","0.287","0.359","1.623"
"GET","117647.05","0.222","0.016","0.215","0.287","0.343","2.103"
"INCR","115473.45","0.225","0.040","0.223","0.295","0.351","1.399"
"LPUSH","116550.12","0.224","0.024","0.223","0.295","0.359","1.151"
"RPUSH","116550.12","0.224","0.016","0.223","0.295","0.351","1.559"
"LPOP","114155.25","0.228","0.016","0.223","0.295","0.351","1.607"
"RPOP","117233.30","0.223","0.016","0.215","0.287","0.359","4.223"
"SADD","110987.79","0.235","0.016","0.231","0.319","0.367","1.975"
"HSET","114547.53","0.228","0.032","0.223","0.295","0.359","2.311"
"SPOP","110497.24","0.238","0.016","0.231","0.311","0.431","1.839"
"LPUSH (needed to benchmark LRANGE)","115740.73","0.226","0.016","0.223","0.287","0.375","1.519"
"LRANGE_100 (first 100 elements)","78003.12","0.341","0.024","0.319","0.455","0.783","5.767"
"MSET (10 keys)","111234.70","0.262","0.016","0.231","0.415","0.935","8.127"
