"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","900900.88","0.499","0.024","0.359","1.375","2.263","11.823"
"PING_MBULK","900900.88","0.518","0.024","0.375","1.471","2.271","9.215"
"SET","869565.19","0.546","0.032","0.263","2.039","4.967","8.823"
"GET","909090.94","0.512","0.024","0.343","1.255","4.583","9.735"
"INCR","781249.94","0.623","0.032","0.279","2.591","5.575","13.127"
"LPUSH","628930.81","0.785","0.024","1.039","1.279","2.151","4.087"
"RPUSH","602409.69","0.818","0.024","1.055","1.311","2.223","4.047"
"LPOP","649350.62","0.758","0.024","1.039","1.199","1.607","2.735"
"RPOP","617283.94","0.797","0.024","1.047","1.231","2.295","4.263"
"SADD","595238.12","0.825","0.024","1.063","1.279","2.031","4.215"
"HSET","574712.69","0.857","0.024","1.079","1.255","1.967","2.983"
"SPOP","645161.31","0.764","0.016","1.031","1.311","2.183","4.239"
"LPUSH (needed to benchmark LRANGE)","625000.00","0.786","0.024","1.047","1.231","1.983","2.935"
"LRANGE_100 (first 100 elements)","190114.06","1.902","0.136","1.167","5.855","12.599","19.391"
"MSET (10 keys)","224719.11","2.214","0.112","1.815","5.271","7.351","16.543"
