"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","110132.16","0.237","0.024","0.231","0.311","0.383","3.103"
"PING_MBULK","113250.28","0.229","0.024","0.223","0.311","0.375","1.743"
"SET","105152.48","0.248","0.032","0.239","0.335","0.407","3.071"
"GET","108459.87","0.241","0.032","0.231","0.327","0.407","2.183"
"INCR","104931.80","0.249","0.024","0.239","0.335","0.407","3.351"
"LPUSH","104712.05","0.248","0.032","0.239","0.335","0.391","1.287"
"RPUSH","114942.53","0.229","0.024","0.223","0.295","0.415","4.551"
"LPOP","102249.49","0.255","0.024","0.247","0.335","0.399","2.207"
"RPOP","107991.36","0.243","0.016","0.231","0.327","0.415","5.351"
"SADD","108225.10","0.243","0.016","0.239","0.319","0.423","3.855"
"HSET","106609.80","0.246","0.024","0.239","0.335","0.439","2.679"
"SPOP","106382.98","0.247","0.016","0.231","0.327","0.439","2.391"
"LPUSH (needed to benchmark LRANGE)","109529.02","0.239","0.024","0.231","0.319","0.399","5.535"
"LRANGE_100 (first 100 elements)","74294.21","0.367","0.024","0.335","0.479","1.071","11.599"
"MSET (10 keys)","109051.26","0.264","0.016","0.239","0.399","0.855","5.591"
