"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","116414.43","0.223","0.016","0.215","0.295","0.359","1.439"
"PING_MBULK","111482.72","0.233","0.064","0.223","0.311","0.375","1.319"
"SET","105820.11","0.246","0.064","0.239","0.335","0.391","3.111"
"GET","106382.98","0.247","0.032","0.239","0.327","0.407","3.223"
"INCR","105932.20","0.247","0.024","0.239","0.327","0.391","4.031"
"LPUSH","103950.10","0.250","0.048","0.239","0.335","0.399","1.343"
"RPUSH","110375.27","0.237","0.064","0.231","0.303","0.375","3.303"
"LPOP","113507.38","0.229","0.040","0.223","0.295","0.359","1.551"
"RPOP","112994.35","0.231","0.016","0.223","0.303","0.375","1.263"
"SADD","107758.62","0.243","0.024","0.231","0.327","0.415","3.599"
"HSET","108459.87","0.241","0.024","0.231","0.311","0.375","1.679"
"SPOP","105263.16","0.249","0.024","0.239","0.327","0.391","2.239"
"LPUSH (needed to benchmark LRANGE)","110132.16","0.236","0.040","0.231","0.319","0.375","3.327"
"LRANGE_100 (first 100 elements)","74682.60","0.359","0.032","0.327","0.495","0.887","6.191"
"MSET (10 keys)","102774.92","0.274","0.024","0.247","0.391","0.855","12.015"
