"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","909090.94","0.337","0.080","0.287","0.575","0.703","1.087"
"PING_MBULK","1063829.88","0.250","0.072","0.223","0.375","0.455","0.791"
"SET","943396.25","0.477","0.184","0.455","0.671","0.799","1.103"
"GET","1052631.62","0.406","0.080","0.391","0.583","0.695","0.975"
"INCR","1041666.69","0.416","0.168","0.399","0.591","0.711","0.911"
"LPUSH","1123595.50","0.325","0.136","0.303","0.519","0.671","1.047"
"RPUSH","952381.00","0.353","0.128","0.327","0.591","0.727","1.151"
"LPOP","775193.81","0.574","0.192","0.527","0.919","1.087","1.415"
"RPOP","854700.88","0.494","0.192","0.471","0.775","0.967","1.423"
"SADD","862069.00","0.485","0.184","0.471","0.751","1.007","1.543"
"HSET","826446.31","0.532","0.176","0.511","0.751","0.911","1.327"
"SPOP","617283.94","0.703","0.072","0.687","1.511","1.783","2.279"
"LPUSH (needed to benchmark LRANGE)","1111111.12","0.315","0.064","0.295","0.511","0.647","0.855"
"LRANGE_100 (first 100 elements)","214132.77","1.184","0.432","1.127","1.671","1.999","2.903"
"MSET (10 keys)","330033.00","1.412","0.480","1.415","2.031","2.415","3.007"
