"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","114942.53","0.226","0.056","0.215","0.311","0.359","0.551"
"PING_MBULK","113895.21","0.227","0.056","0.215","0.303","0.351","0.599"
"SET","116822.43","0.224","0.080","0.215","0.303","0.375","0.719"
"GET","118623.96","0.218","0.056","0.215","0.279","0.335","0.551"
"INCR","115207.38","0.227","0.040","0.215","0.295","0.367","1.719"
"LPUSH","117924.53","0.219","0.056","0.215","0.279","0.343","0.927"
"RPUSH","114547.53","0.227","0.064","0.215","0.295","0.351","3.511"
"LPOP","115606.94","0.224","0.056","0.215","0.287","0.351","1.703"
"RPOP","115874.86","0.222","0.056","0.215","0.287","0.343","0.535"
"SADD","119189.52","0.217","0.064","0.215","0.279","0.343","0.479"
"HSET","118623.96","0.218","0.064","0.215","0.279","0.335","0.543"
"SPOP","113507.38","0.235","0.112","0.215","0.327","0.455","1.015"
"LPUSH (needed to benchmark LRANGE)","120192.30","0.215","0.056","0.215","0.279","0.343","0.799"
"LRANGE_100 (first 100 elements)","81234.77","0.315","0.160","0.303","0.415","0.447","0.831"
"MSET (10 keys)","117370.89","0.324","0.112","0.319","0.495","0.567","0.847"
