"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","757575.75","0.395","0.048","0.335","0.519","2.063","8.455"
"PING_MBULK","740740.69","0.383","0.048","0.351","0.511","1.151","4.663"
"SET","719424.44","0.408","0.048","0.359","0.695","1.559","6.023"
"GET","769230.81","0.353","0.072","0.343","0.455","0.775","2.863"
"INCR","757575.75","0.391","0.040","0.343","0.599","1.623","5.143"
"LPUSH","584795.31","0.828","0.032","1.071","1.447","2.359","5.615"
"RPUSH","606060.56","0.802","0.032","1.055","1.343","2.143","3.327"
"LPOP","709219.88","0.675","0.024","1.031","1.143","2.015","3.047"
"RPOP","645161.31","0.743","0.032","1.039","1.223","2.183","8.567"
"SADD","543478.25","0.901","0.032","1.079","1.607","3.327","5.207"
"HSET","534759.31","0.918","0.032","1.087","1.399","2.231","3.351"
"SPOP","591716.00","0.728","0.032","0.591","1.279","3.031","6.855"
"LPUSH (needed to benchmark LRANGE)","625000.00","0.779","0.032","1.055","1.239","2.087","3.279"
"LRANGE_100 (first 100 elements)","184842.88","1.705","0.224","1.319","4.231","7.959","20.479"
"MSET (10 keys)","206611.58","2.402","0.136","2.039","5.535","7.495","14.879"
