"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","84245.99","0.311","0.056","0.303","0.367","0.431","3.839"
"PING_MBULK","84104.29","0.309","0.056","0.311","0.383","0.471","2.431"
"SET","81366.97","0.322","0.056","0.311","0.415","0.511","3.199"
"GET","81566.07","0.320","0.032","0.311","0.407","0.495","4.151"
"INCR","80645.16","0.323","0.040","0.319","0.399","0.471","3.191"
"LPUSH","81632.65","0.319","0.016","0.311","0.391","0.463","2.343"
"RPUSH","80645.16","0.324","0.080","0.319","0.423","0.487","3.543"
"LPOP","82101.80","0.317","0.040","0.311","0.399","0.471","2.271"
"RPOP","82372.32","0.316","0.048","0.311","0.399","0.463","3.575"
"SADD","84388.19","0.308","0.064","0.303","0.383","0.439","3.311"
"HSET","83682.01","0.311","0.032","0.311","0.391","0.463","2.391"
"SPOP","79491.26","0.329","0.024","0.319","0.415","0.495","2.383"
"LPUSH (needed to benchmark LRANGE)","80580.17","0.323","0.048","0.319","0.415","0.487","2.303"
"LRANGE_100 (first 100 elements)","61690.31","0.421","0.040","0.407","0.559","0.631","4.607"
"MSET (10 keys)","76982.29","0.347","0.032","0.335","0.447","0.559","3.623"
