"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","88888.89","0.292","0.056","0.287","0.367","0.431","2.375"
"PING_MBULK","85763.29","0.304","0.088","0.303","0.367","0.423","4.207"
"SET","83822.30","0.311","0.064","0.303","0.391","0.455","2.495"
"GET","85106.38","0.306","0.064","0.303","0.375","0.431","2.111"
"INCR","84817.64","0.307","0.072","0.303","0.383","0.431","2.183"
"LPUSH","80840.74","0.326","0.064","0.319","0.407","0.503","3.455"
"RPUSH","80128.20","0.328","0.040","0.319","0.415","0.511","3.519"
"LPOP","82918.74","0.317","0.024","0.303","0.407","0.495","3.815"
"RPOP","82712.98","0.315","0.064","0.311","0.407","0.471","3.295"
"SADD","78616.35","0.332","0.032","0.327","0.423","0.495","3.103"
"HSET","75815.01","0.347","0.056","0.335","0.455","0.559","2.855"
"SPOP","81300.81","0.326","0.016","0.319","0.407","0.815","3.159"
"LPUSH (needed to benchmark LRANGE)","83822.30","0.313","0.016","0.303","0.399","0.471","5.879"
"LRANGE_100 (first 100 elements)","61312.08","0.430","0.048","0.415","0.543","0.863","6.183"
"MSET (10 keys)","79872.20","0.342","0.024","0.327","0.415","0.807","3.951"
