"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","80906.16","0.321","0.056","0.319","0.423","0.495","1.647"
"PING_MBULK","77700.08","0.336","0.064","0.327","0.447","0.543","3.463"
"SET","83472.46","0.313","0.040","0.311","0.407","0.479","3.535"
"GET","84961.77","0.306","0.072","0.303","0.391","0.455","2.151"
"INCR","84388.19","0.309","0.056","0.303","0.383","0.439","3.463"
"LPUSH","86580.09","0.301","0.040","0.303","0.367","0.431","1.303"
"RPUSH","83682.01","0.311","0.040","0.311","0.391","0.463","2.767"
"LPOP","83333.33","0.312","0.072","0.311","0.399","0.471","2.599"
"RPOP","84388.19","0.308","0.040","0.303","0.383","0.471","1.655"
"SADD","83542.19","0.310","0.088","0.311","0.399","0.463","0.935"
"HSET","82712.98","0.318","0.024","0.311","0.391","0.495","2.175"
"SPOP","87642.41","0.301","0.024","0.295","0.367","0.479","2.679"
"LPUSH (needed to benchmark LRANGE)","84245.99","0.313","0.040","0.303","0.391","0.527","3.239"
"LRANGE_100 (first 100 elements)","62656.64","0.416","0.064","0.399","0.535","0.615","4.551"
"MSET (10 keys)","82034.45","0.324","0.032","0.319","0.391","0.479","4.319"
