"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","781249.94","0.380","0.040","0.335","0.511","1.527","10.391"
"PING_MBULK","775193.81","0.368","0.040","0.343","0.455","1.295","4.527"
"SET","763358.81","0.416","0.040","0.351","0.903","1.823","4.319"
"GET","787401.56","0.338","0.088","0.327","0.455","0.511","1.463"
"INCR","787401.56","0.390","0.048","0.335","0.671","1.487","5.335"
"LPUSH","621118.00","0.790","0.024","1.055","1.215","2.167","4.367"
"RPUSH","584795.31","0.838","0.032","1.071","1.255","2.095","3.775"
"LPOP","625000.00","0.781","0.024","1.055","1.247","2.079","2.831"
"RPOP","625000.00","0.781","0.024","1.055","1.263","2.647","4.527"
"SADD","591716.00","0.829","0.032","1.071","1.255","2.055","4.119"
"HSET","584795.31","0.839","0.032","1.071","1.207","2.055","3.239"
"SPOP","606060.56","0.721","0.032","0.975","1.175","2.135","5.487"
"LPUSH (needed to benchmark LRANGE)","628930.81","0.780","0.032","1.055","1.183","2.063","4.287"
"LRANGE_100 (first 100 elements)","186567.16","1.595","0.224","1.335","3.151","6.839","16.975"
"MSET (10 keys)","204498.98","2.424","0.168","1.959","5.775","8.063","13.695"
