"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","88967.98","0.291","0.056","0.295","0.351","0.391","1.743"
"PING_MBULK","90334.23","0.287","0.072","0.287","0.335","0.383","1.431"
"SET","88573.96","0.294","0.040","0.295","0.351","0.415","1.695"
"GET","86505.19","0.300","0.072","0.295","0.367","0.439","1.167"
"INCR","88183.43","0.295","0.088","0.295","0.351","0.399","0.903"
"LPUSH","87950.75","0.296","0.080","0.295","0.359","0.407","2.847"
"RPUSH","86730.27","0.299","0.072","0.295","0.351","0.407","1.551"
"LPOP","87032.20","0.298","0.080","0.295","0.351","0.399","0.959"
"RPOP","87796.30","0.295","0.072","0.295","0.351","0.391","0.967"
"SADD","86805.56","0.300","0.048","0.303","0.359","0.407","1.783"
"HSET","87183.96","0.298","0.056","0.295","0.359","0.407","1.055"
"SPOP","85984.52","0.303","0.024","0.303","0.367","0.423","2.079"
"LPUSH (needed to benchmark LRANGE)","86206.90","0.301","0.096","0.303","0.367","0.407","2.895"
"LRANGE_100 (first 100 elements)","65316.79","0.397","0.048","0.391","0.447","0.535","4.103"
"MSET (10 keys)","83333.33","0.319","0.040","0.311","0.375","0.439","3.007"
