"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","775193.81","0.368","0.040","0.327","0.423","1.655","7.559"
"PING_MBULK","800000.00","0.344","0.056","0.327","0.431","0.759","2.767"
"SET","800000.00","0.358","0.048","0.327","0.447","1.567","3.495"
"GET","819672.12","0.326","0.072","0.327","0.391","0.479","1.783"
"INCR","854700.88","0.343","0.040","0.319","0.471","0.935","3.551"
"LPUSH","719424.44","0.675","0.032","1.031","1.135","1.727","3.047"
"RPUSH","649350.62","0.752","0.032","1.047","1.143","1.503","3.071"
"LPOP","662251.69","0.731","0.024","1.047","1.143","2.047","4.895"
"RPOP","729927.06","0.657","0.024","1.023","1.119","1.551","2.983"
"SADD","649350.62","0.753","0.032","1.047","1.159","2.015","2.735"
"HSET","645161.31","0.754","0.032","1.047","1.127","1.335","2.967"
"SPOP","636942.62","0.675","0.032","0.391","1.111","2.295","7.791"
"LPUSH (needed to benchmark LRANGE)","662251.69","0.735","0.024","1.047","1.151","2.015","4.071"
"LRANGE_100 (first 100 elements)","201612.91","1.470","0.224","1.263","2.823","7.191","14.247"
"MSET (10 keys)","219298.25","2.263","0.152","1.759","5.503","8.015","14.639"
