"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","92336.11","0.281","0.056","0.287","0.335","0.375","1.463"
"PING_MBULK","92421.44","0.280","0.056","0.279","0.335","0.383","0.727"
"SET","93632.96","0.279","0.088","0.279","0.335","0.383","0.999"
"GET","88731.15","0.293","0.072","0.295","0.351","0.415","2.391"
"INCR","87873.46","0.295","0.080","0.295","0.359","0.407","2.167"
"LPUSH","88417.33","0.294","0.056","0.295","0.359","0.407","1.503"
"RPUSH","88573.96","0.293","0.048","0.295","0.351","0.391","1.055"
"LPOP","88809.95","0.294","0.048","0.295","0.367","0.423","2.495"
"RPOP","88809.95","0.294","0.064","0.295","0.343","0.391","4.103"
"SADD","87108.02","0.298","0.072","0.295","0.367","0.431","2.079"
"HSET","85763.29","0.305","0.032","0.303","0.383","0.455","4.359"
"SPOP","88261.25","0.295","0.024","0.295","0.367","0.439","1.375"
"LPUSH (needed to benchmark LRANGE)","86580.09","0.300","0.072","0.303","0.367","0.415","3.999"
"LRANGE_100 (first 100 elements)","65274.15","0.399","0.048","0.391","0.447","0.543","4.567"
"MSET (10 keys)","83194.67","0.318","0.048","0.311","0.383","0.455","3.759"
