"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","89766.61","0.290","0.080","0.287","0.351","0.399","3.351"
"PING_MBULK","91074.68","0.285","0.064","0.287","0.335","0.375","1.167"
"SET","84245.99","0.311","0.048","0.303","0.399","0.487","3.359"
"GET","87565.68","0.296","0.088","0.295","0.359","0.415","1.047"
"INCR","88573.96","0.294","0.096","0.295","0.359","0.407","1.647"
"LPUSH","87183.96","0.298","0.080","0.295","0.367","0.407","3.431"
"RPUSH","87950.75","0.296","0.064","0.295","0.359","0.415","1.439"
"LPOP","87565.68","0.296","0.072","0.295","0.359","0.399","0.623"
"RPOP","87642.41","0.296","0.064","0.295","0.351","0.391","1.343"
"SADD","87642.41","0.297","0.064","0.295","0.359","0.399","3.591"
"HSET","87642.41","0.297","0.032","0.295","0.351","0.407","1.239"
"SPOP","87412.59","0.299","0.024","0.295","0.351","0.439","3.279"
"LPUSH (needed to benchmark LRANGE)","88105.73","0.295","0.064","0.295","0.359","0.399","2.175"
"LRANGE_100 (first 100 elements)","66181.34","0.395","0.048","0.383","0.455","0.551","4.911"
"MSET (10 keys)","85034.02","0.312","0.032","0.311","0.383","0.455","2.375"
