"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","840336.12","0.339","0.088","0.311","0.519","0.719","1.279"
"PING_MBULK","862069.00","0.304","0.080","0.295","0.391","0.431","0.631"
"SET","751879.69","0.589","0.208","0.567","0.791","0.927","1.199"
"GET","840336.12","0.490","0.208","0.487","0.703","0.823","1.127"
"INCR","833333.38","0.493","0.096","0.495","0.711","0.831","1.247"
"LPUSH","869565.19","0.420","0.192","0.407","0.623","0.703","0.999"
"RPUSH","854700.88","0.351","0.120","0.335","0.503","0.615","0.959"
"LPOP","819672.12","0.508","0.208","0.503","0.719","0.839","1.175"
"RPOP","847457.62","0.461","0.200","0.455","0.679","0.743","0.895"
"SADD","800000.00","0.509","0.192","0.495","0.783","1.007","1.399"
"HSET","781249.94","0.569","0.224","0.551","0.767","0.903","1.175"
"SPOP","497512.44","0.876","0.168","0.855","1.799","2.111","2.815"
"LPUSH (needed to benchmark LRANGE)","909090.94","0.410","0.160","0.383","0.671","0.847","1.343"
"LRANGE_100 (first 100 elements)","219298.25","1.161","0.432","1.135","1.351","1.815","3.791"
"MSET (10 keys)","312500.00","1.476","0.520","1.487","1.991","2.375","3.127"
