"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","93109.87","0.284","0.080","0.279","0.351","0.471","1.239"
"PING_MBULK","92336.11","0.282","0.072","0.279","0.351","0.399","0.583"
"SET","94250.71","0.288","0.144","0.279","0.399","0.575","1.439"
"GET","93632.96","0.282","0.080","0.279","0.343","0.415","1.143"
"INCR","93545.37","0.283","0.088","0.279","0.343","0.423","1.671"
"LPUSH","105485.23","0.245","0.064","0.231","0.311","0.367","0.695"
"RPUSH","105152.48","0.247","0.080","0.231","0.319","0.375","0.607"
"LPOP","90252.70","0.290","0.080","0.287","0.367","0.415","3.567"
"RPOP","108342.37","0.239","0.080","0.223","0.311","0.383","0.591"
"SADD","89766.61","0.293","0.072","0.287","0.375","0.423","3.319"
"HSET","92592.59","0.284","0.080","0.287","0.367","0.447","1.119"
"SPOP","90497.73","0.295","0.080","0.287","0.383","0.511","1.175"
"LPUSH (needed to benchmark LRANGE)","94339.62","0.277","0.056","0.279","0.343","0.399","1.303"
"LRANGE_100 (first 100 elements)","69735.01","0.370","0.144","0.367","0.423","0.519","1.143"
"MSET (10 keys)","88652.48","0.417","0.096","0.391","0.655","0.799","1.407"
