"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","740740.69","0.455","0.024","0.327","0.911","3.895","10.311"
"PING_MBULK","724637.69","0.397","0.048","0.351","0.511","1.567","6.919"
"SET","714285.69","0.386","0.056","0.359","0.559","0.815","2.023"
"GET","751879.69","0.354","0.128","0.343","0.463","0.599","1.935"
"INCR","769230.81","0.394","0.048","0.351","0.655","1.487","3.327"
"LPUSH","602409.69","0.802","0.032","1.055","1.295","2.247","6.871"
"RPUSH","588235.31","0.837","0.032","1.063","1.263","2.047","3.143"
"LPOP","625000.00","0.778","0.024","1.055","1.207","2.047","3.023"
"RPOP","671140.94","0.707","0.032","1.039","1.167","2.047","3.079"
"SADD","598802.44","0.805","0.032","1.063","1.279","1.791","3.143"
"HSET","543478.25","0.905","0.032","1.079","1.319","2.143","3.975"
"SPOP","578034.69","0.759","0.032","0.991","1.247","2.351","6.263"
"LPUSH (needed to benchmark LRANGE)","649350.62","0.750","0.032","1.047","1.215","2.047","3.815"
"LRANGE_100 (first 100 elements)","188679.25","1.535","0.264","1.327","2.487","6.255","18.079"
"MSET (10 keys)","218818.39","2.270","0.160","1.823","5.431","7.463","14.815"
