"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","85106.38","0.306","0.040","0.303","0.391","0.471","3.351"
"PING_MBULK","85034.02","0.305","0.080","0.303","0.383","0.447","1.239"
"SET","83542.19","0.312","0.024","0.311","0.391","0.455","4.447"
"GET","84104.29","0.310","0.048","0.303","0.391","0.447","1.607"
"INCR","83056.48","0.314","0.040","0.311","0.407","0.487","2.471"
"LPUSH","84674.01","0.310","0.056","0.303","0.391","0.471","2.303"
"RPUSH","84388.19","0.308","0.056","0.303","0.391","0.455","1.295"
"LPOP","84388.19","0.309","0.024","0.303","0.383","0.447","2.223"
"RPOP","85397.09","0.304","0.088","0.303","0.375","0.431","0.663"
"SADD","83822.30","0.310","0.072","0.311","0.383","0.447","2.327"
"HSET","83125.52","0.314","0.040","0.311","0.399","0.471","2.159"
"SPOP","84033.61","0.311","0.024","0.303","0.391","0.463","2.111"
"LPUSH (needed to benchmark LRANGE)","82850.04","0.314","0.112","0.311","0.391","0.455","1.567"
"LRANGE_100 (first 100 elements)","63411.54","0.414","0.048","0.399","0.495","0.647","5.231"
"MSET (10 keys)","80906.16","0.333","0.032","0.319","0.407","0.591","4.399"
