"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","763358.81","0.395","0.040","0.335","0.599","2.071","8.151"
"PING_MBULK","709219.88","0.428","0.048","0.367","0.783","2.095","8.015"
"SET","719424.44","0.427","0.040","0.359","0.791","1.871","5.255"
"GET","787401.56","0.347","0.072","0.327","0.455","0.727","2.431"
"INCR","653594.81","0.504","0.048","0.383","1.047","2.895","12.423"
"LPUSH","552486.19","0.845","0.032","1.087","1.303","2.095","3.551"
"RPUSH","584795.31","0.821","0.032","1.063","1.271","2.119","5.559"
"LPOP","671140.94","0.690","0.032","1.031","1.183","1.471","3.359"
"RPOP","675675.69","0.680","0.032","1.023","1.183","1.911","3.039"
"SADD","628930.81","0.767","0.032","1.055","1.231","1.591","3.143"
"HSET","558659.19","0.884","0.032","1.071","1.271","2.095","3.367"
"SPOP","598802.44","0.732","0.032","1.007","1.231","2.087","3.375"
"LPUSH (needed to benchmark LRANGE)","645161.31","0.740","0.024","1.047","1.159","2.007","3.311"
"LRANGE_100 (first 100 elements)","187617.27","1.640","0.192","1.327","3.807","7.071","22.367"
"MSET (10 keys)","233644.86","2.122","0.144","1.655","5.191","7.615","13.263"
