"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","787401.56","0.370","0.040","0.327","0.431","1.535","7.823"
"PING_MBULK","775193.81","0.426","0.040","0.319","0.919","2.759","15.743"
"SET","793650.75","0.365","0.048","0.335","0.463","1.015","5.887"
"GET","781249.94","0.358","0.048","0.335","0.447","1.135","2.551"
"INCR","800000.00","0.371","0.064","0.335","0.543","1.303","3.607"
"LPUSH","591716.00","0.831","0.024","1.055","1.207","2.207","9.007"
"RPUSH","574712.69","0.857","0.024","1.071","1.255","2.103","5.351"
"LPOP","625000.00","0.781","0.024","1.055","1.175","2.039","2.495"
"RPOP","617283.94","0.790","0.032","1.055","1.215","2.055","3.335"
"SADD","595238.12","0.825","0.032","1.063","1.287","2.183","4.487"
"HSET","543478.25","0.906","0.032","1.079","1.271","2.063","3.167"
"SPOP","584795.31","0.769","0.032","1.031","1.263","2.167","4.959"
"LPUSH (needed to benchmark LRANGE)","621118.00","0.781","0.032","1.055","1.231","2.071","4.487"
"LRANGE_100 (first 100 elements)","197238.64","1.467","0.232","1.303","2.415","5.663","12.831"
"MSET (10 keys)","210970.47","2.357","0.136","1.815","5.919","8.319","14.775"
