"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","806451.62","0.347","0.088","0.327","0.503","0.695","1.831"
"PING_MBULK","781249.94","0.343","0.096","0.319","0.447","0.607","2.031"
"SET","709219.88","0.623","0.216","0.599","0.863","1.031","1.503"
"GET","763358.81","0.504","0.208","0.487","0.807","1.015","1.655"
"INCR","751879.69","0.594","0.192","0.567","0.839","0.999","1.799"
"LPUSH","909090.94","0.391","0.072","0.367","0.631","0.743","1.031"
"RPUSH","1041666.69","0.291","0.088","0.255","0.479","0.647","1.175"
"LPOP","763358.81","0.498","0.208","0.495","0.719","0.839","1.135"
"RPOP","787401.56","0.456","0.224","0.439","0.679","0.783","1.031"
"SADD","751879.69","0.514","0.152","0.487","0.863","1.135","2.079"
"HSET","719424.44","0.606","0.240","0.575","0.903","1.079","1.895"
"SPOP","480769.22","0.880","0.080","0.855","1.839","2.135","2.583"
"LPUSH (needed to benchmark LRANGE)","775193.81","0.442","0.096","0.423","0.687","0.863","1.287"
"LRANGE_100 (first 100 elements)","191938.56","1.315","0.480","1.223","1.975","2.199","3.215"
"MSET (10 keys)","232018.56","2.034","0.536","2.055","2.887","3.151","3.663"
