"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","91743.12","0.286","0.072","0.287","0.375","0.455","1.087"
"PING_MBULK","94250.71","0.280","0.072","0.279","0.359","0.455","2.399"
"SET","90171.33","0.304","0.080","0.287","0.439","0.583","1.735"
"GET","89445.44","0.305","0.088","0.287","0.423","0.551","1.055"
"INCR","90252.70","0.307","0.088","0.287","0.447","0.599","2.591"
"LPUSH","88183.43","0.296","0.072","0.295","0.383","0.439","8.983"
"RPUSH","87950.75","0.300","0.080","0.295","0.383","0.487","1.047"
"LPOP","90090.09","0.299","0.080","0.287","0.431","0.551","1.183"
"RPOP","89285.71","0.301","0.072","0.295","0.399","0.535","0.983"
"SADD","90909.09","0.294","0.072","0.287","0.391","0.519","1.127"
"HSET","85178.88","0.316","0.080","0.295","0.423","0.527","9.127"
"SPOP","88261.25","0.315","0.056","0.295","0.479","0.655","1.415"
"LPUSH (needed to benchmark LRANGE)","89847.26","0.290","0.088","0.287","0.391","0.455","3.063"
"LRANGE_100 (first 100 elements)","65402.22","0.398","0.176","0.383","0.503","0.623","1.799"
"MSET (10 keys)","85324.23","0.482","0.072","0.487","0.791","0.991","1.855"
